,year,coal,coal_base,gas,gas_base,oil,oil_base,nuclear,nuclear_base,renew,renew_base
0,1990,206.438,206.438,4.998,4.998,34.676,34.676,65.760672,65.760672,5.722,5.722
1,1991,208.4627438316877,211.458,5.047020382249271,5.824,35.01610219585349,28.116,66.40565264794097,70.555721,5.778121373995665,5.2326000000000015
2,1992,207.27992154225788,193.638,5.018383475272018,12.583,34.817420045724795,29.809,66.02886548371015,76.8180108,5.745336183574729,6.317000000000001
3,1993,208.60930532715741,171.246,5.050568732622544,34.039,35.040720562708955,21.143,66.45233970377087,89.3691068,5.7821837311056825,5.718099999999999
4,1994,210.84065567228268,161.341,5.104591194693171,53.258,35.41552706426179,14.837,67.16313470354257,88.299612,5.844031775917233,6.9797
5,1995,217.85623809419553,155.206,5.274443067627033,63.739,36.59395514466486,17.297,69.39794328789418,88.9801996,6.038488041809099,6.6856
6,1996,226.53564859463495,147.269,5.484577314622237,84.086,38.05186133690291,17.185,72.16276307433249,94.685645,6.279061903615135,5.688559999999999
7,1997,226.40651952373648,121.973,5.48145101473389,110.963,38.03017114584082,10.669,72.12162910443828,98.1637128,6.275482734355207,7.1729400000000005
8,1998,234.17621571969636,122.97085129707412,5.669560479015697,117.79828819105188,39.33526994204648,8.182540482523825,74.59666007297201,99.48594916503333,6.490841348725055,8.648814359200001
9,1999,237.69498290167917,106.17967779235832,5.754752150973137,142.9008686105889,39.9263276484883,6.5487897059158,75.71756075258882,95.13294344435,6.588373711058082,9.615697273599999
10,2000,243.45216251889144,119.94981852968101,5.89413726285577,148.076532816805,40.893378096595974,6.523984416697386,77.55150605554944,85.06276572150001,6.747949863557567,9.914545352135
11,2001,248.4305620785713,131.4605141648434,6.014667596414902,141.9060541128414,41.72961456048082,5.253166329004667,79.13737154799294,90.09268044909999,6.885939973326544,9.5476481574585
12,2002,250.0237840993204,124.278613890802,6.053240551295805,152.27748439721154,41.997232764452455,4.7989949556177445,79.6448912426696,87.84837926606258,6.930100527113766,11.129584492703227
13,2003,257.10187044689934,138.45872557649628,6.224605685453273,148.8826731245491,43.186159813681016,4.594112124345547,81.89961040624807,88.68626590896001,7.126289262137582,10.692400452961
14,2004,254.33891845271125,131.7875673999738,6.157712797191655,157.06486700778686,42.72205861452938,4.6437795449292665,81.01947409490255,79.99910564221473,7.049706407669198,14.15136036126594
15,2005,257.2000147416548,134.6369879450628,6.2269818234956285,152.64174212305596,43.20264540046708,5.338157313058781,81.93087419865105,81.61810284312,7.129009602649458,16.945200119918468
16,2006,258.96170241804555,148.85002096132501,6.269633442900006,140.82823702306354,43.49856127771121,6.173006517381215,82.49205850315687,75.45065693252724,7.177839647913934,18.1173068375
17,2007,261.0563141550785,135.9439242275643,6.320345373172973,165.7930832518522,43.85039939178592,5.0482968689717485,83.15929552059734,63.028342696935006,7.235897604100792,19.68962306541498
18,2008,263.20499412190884,124.38136295716069,6.372366330914368,176.21901877964078,44.211319505959715,6.708771034305617,83.8437559325937,52.48580833475701,7.295454210782718,21.904711950843954
19,2009,265.0641749055721,103.03803071742502,6.417378322683078,166.49866362675408,44.52361158810693,5.994552762729592,84.4359965942121,69.09769290963001,7.346986547097354,25.243811919665312
20,2010,267.18858802910756,107.5942353762891,6.468811764159115,175.6534073618575,44.880455529007904,4.805436501432261,85.11272682125029,62.13967325248901,7.40587053111614,26.180265854446656
21,2011,269.4262464213525,108.44227186995468,6.522986948206822,146.49898670332828,45.2563216118487,3.1189469939379224,85.82553124475987,68.980449121801,7.467893420896247,35.212175907148264
22,2012,271.21390387740973,142.79200183473648,6.566267313088161,100.16957002060948,45.55659970961286,2.8912342340003656,86.39498820334371,70.40506909236501,7.517443290414257,41.247948722293984
23,2013,272.9198203876315,130.25789114914775,6.607568675812507,95.84293549002045,45.8431475395107,2.0662533180368703,86.9384066441738,70.60687708012401,7.564727483593271,53.21381318595958
24,2014,275.01060051782844,100.23886944869388,6.658187840359364,100.89202072566279,46.19434204727918,1.9200519743410287,87.60442310609454,63.74795420251301,7.622679236201739,64.52240208881483
25,2015,277.19546788255474,75.87822484677022,6.711084918847346,99.87541514748722,46.5613406654563,2.037106450916657,88.30041098688815,70.344902010915,7.683238876679576,83.40336670126345
26,2016,279.4863430364113,30.711199547373003,6.766548515757679,143.36184461649583,46.94614572477256,1.8392070378548067,89.03016757039367,71.726080578005,7.746736816159552,83.22497702881267
27,2017,281.1556464146443,22.579801840703134,6.806963450432538,133.33904367260763,47.22654353885528,2.1906432858921434,89.56192292514653,70.33642626801225,7.793006175145055,98.85652785060509
